Objects	t0	t1	t2	t3
O710	0.0	0.0	0.0	0.0
O711	-0.5	-0.5	1.5	-0.5
O712	0.15	0.57	-1.45	0.74
O713	0.0	0.0	0.0	0.0
O714	0.69	0.44	-1.48	0.35
O715	1.13	0.56	-0.92	-0.76
O716	0.16	-1.46	0.6	0.7
O717	1.38	-0.45	0.01	-0.95
O718	1.14	0.54	-0.84	-0.84
O719	0.81	0.34	-1.46	0.31
O72	-0.87	-0.87	0.81	0.92
O720	0.0	0.0	0.0	0.0
O721	-0.86	-0.86	0.69	1.03
O722	1.5	-0.5	-0.5	-0.5
O723	1.29	0.3	-0.79	-0.79
O724	0.37	0.62	0.5	-1.49
O725	0.84	0.89	-0.87	-0.87
O726	0.74	0.6	0.11	-1.45
O727	1.07	0.63	-0.85	-0.85
O728	0.0	0.0	0.0	0.0
O729	0.98	0.7	-0.56	-1.11
O73	0.63	0.52	-1.49	0.33
O730	-0.7	-0.79	0.11	1.37
O731	0.01	-0.88	-0.52	1.4
O732	0.0	0.0	0.0	0.0
O733	0.05	1.4	-0.75	-0.7
O734	0.0	0.0	0.0	0.0
O735	1.5	-0.5	-0.5	-0.5
O736	-1.32	0.5	0.99	-0.16
O737	0.0	0.0	0.0	0.0
O738	-0.86	-0.86	0.8	0.93
O739	-0.5	1.5	-0.5	-0.5
O74	-1.33	0.06	0.18	1.09
O740	-0.86	-0.86	0.8	0.93
O741	0.68	0.61	0.17	-1.46
O742	1.06	0.65	-0.85	-0.85
O743	0.0	0.0	0.0	0.0
O744	1.17	0.47	-0.63	-1.01
O745	0.0	0.0	0.0	0.0
O746	0.0	0.0	0.0	0.0
O747	-1.46	0.28	0.79	0.39
O748	1.5	-0.5	-0.5	-0.5
O749	0.63	0.5	0.36	-1.49
O75	-1.36	-0.14	0.86	0.64
O750	-1.08	-0.59	0.64	1.04
O751	1.5	-0.5	-0.5	-0.5
O752	-0.24	-1.16	1.26	0.13
O753	1.5	-0.5	-0.5	-0.5
O754	0.0	0.0	0.0	0.0
O755	0.0	0.0	0.0	0.0
O756	1.08	0.62	-0.85	-0.85
O757	0.0	0.0	0.0	0.0
O758	-0.86	-0.86	0.7	1.02
O759	-0.88	-0.64	0.19	1.33
O76	-0.66	-0.3	-0.52	1.48
O760	0.87	0.6	-0.1	-1.37
O761	1.5	-0.5	-0.5	-0.5
O762	-0.82	-0.89	1.07	0.63
O763	1.5	-0.5	-0.5	-0.5
O764	0.0	0.0	0.0	0.0
O765	-0.5	-0.5	-0.5	1.5
O766	-0.5	-0.5	-0.5	1.5
O767	-0.48	-0.51	-0.51	1.5
O768	1.04	0.67	-0.86	-0.86
O769	1.21	0.44	-0.82	-0.82
O77	1.5	-0.5	-0.5	-0.5
O770	0.77	-0.05	-1.39	0.67
O771	1.06	0.63	-0.73	-0.96
O772	-1.39	-0.04	0.84	0.6
O773	-0.86	-0.86	0.77	0.96
O774	0.96	0.47	-1.36	-0.07
O775	0.39	1.21	-0.55	-1.04
O776	0.74	0.6	-1.44	0.1
O777	0.0	0.0	0.0	0.0
O778	-1.23	1.02	-0.35	0.56
O779	0.85	0.89	-0.87	-0.87
O78	-0.86	0.76	0.97	-0.86
O780	0.0	0.0	0.0	0.0
O781	-0.7	-0.9	0.33	1.26
O782	0.0	0.0	0.0	0.0
O783	-0.87	-0.87	0.89	0.84
O784	0.88	0.86	-0.87	-0.87
O785	-0.92	-0.37	-0.13	1.42
O786	1.5	-0.5	-0.5	-0.5
O787	-0.5	-0.5	-0.5	1.5
O788	-0.5	1.5	-0.5	-0.5
O789	1.13	0.56	-0.84	-0.84
O79	0.0	0.0	0.0	0.0
O790	0.74	0.99	-0.86	-0.86
O791	0.0	0.0	0.0	0.0
O792	1.32	0.23	-0.76	-0.78
O793	-0.5	-0.5	-0.5	1.5
O794	-0.87	0.84	0.89	-0.87
O795	-0.87	-0.87	0.85	0.88
O796	-1.45	0.13	0.59	0.73
O797	1.15	0.52	-0.84	-0.84
O798	0.78	-0.86	-0.86	0.95
O799	0.0	0.0	0.0	0.0
O80	-0.85	-0.85	1.05	0.66
O800	0.0	0.0	0.0	0.0
O801	0.45	-1.46	0.24	0.78
O802	-0.87	-0.87	0.82	0.91
O803	0.0	0.0	0.0	0.0
O804	0.53	0.95	-0.14	-1.34
O805	1.08	0.62	-0.85	-0.85
O806	-0.87	-0.87	0.82	0.92
O807	-0.5	-0.5	1.5	-0.5
O808	-0.77	0.19	1.34	-0.77
O809	0.85	0.41	-1.44	0.19
O81	1.5	-0.5	-0.5	-0.5
O810	0.0	0.0	0.0	0.0
O811	0.62	0.71	-1.45	0.11
O812	0.88	0.57	-1.37	-0.08
O813	0.0	0.0	0.0	0.0
O814	-0.85	-0.85	0.61	1.09
O815	1.27	0.24	-0.46	-1.05
O816	-0.86	1.04	0.67	-0.86
O817	-0.87	-0.87	0.88	0.85
O818	0.93	0.71	-0.45	-1.19
O819	1.0	0.72	-0.86	-0.86
O82	1.5	-0.5	-0.5	-0.5
O820	0.0	0.0	0.0	0.0
O821	1.04	0.68	-0.86	-0.86
O822	1.19	0.41	-1.06	-0.54
O823	-1.12	1.01	0.65	-0.54
O824	1.1	0.56	-1.05	-0.61
O825	-0.5	-0.5	-0.5	1.5
O826	-0.85	0.65	1.06	-0.85
O827	0.0	0.0	0.0	0.0
O828	-0.5	-0.5	-0.5	1.5
O829	1.5	-0.5	-0.5	-0.5
O83	-1.46	0.32	0.83	0.3
O830	-1.32	-0.22	0.64	0.89
O831	-0.5	-0.5	-0.5	1.5
O832	-0.86	-0.86	0.8	0.93
O833	0.68	0.49	-1.48	0.31
O834	0.66	0.54	-1.48	0.28
