OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe	A	B	C	D	E	F
48624	851664	2541787	0.316650877644	-0.431651230659	1.65545191926	0.0794774257114	0.0995647089073	-1.71949370086
48685	854761	2540751	-0.556987278318	-0.204203604273	-1.0883274459	0.896861136244	1.74232063196	-0.789663439723
48696	856910	2540372	-0.113313725317	1.0157837048	-1.69013613499	1.33039320341	0.0299344265596	-0.572661474471
48703	852670	2540202	1.05256737989	-0.638858495207	0.167686569092	0.474378213745	-1.88315050557	0.827376838044
48742	853099	2542675	0.975062195061	-0.38309927749	0.336442972231	1.42263050407	-1.14609735366	-1.20493904021
48759	856424	3361177	0.818588717712	-1.04464108847	1.23536113154	0.790167027458	-0.415434324719	-1.38404146352
4880	855009	2539736	-0.869853098961	0.967370080037	-1.36424750837	-0.532660566541	1.42111093648	0.378280157358
4887	852721	2543485	-0.653744836217	1.13744108086	-1.16564896678	-1.03326035125	1.29435764769	0.420855425687
48879	850687	2541828	-0.967234601009	0.920268482024	-1.36342675117	-0.45288599769	1.38859722476	0.474681643082
48885	850734	2539497	1.36598986226	0.61649638457	0.420309123283	-1.33388352175	0.248746675891	-1.31765852426
48923	854919	2540211	-0.774687989224	1.13832310284	-1.18888608296	-0.934478828067	1.24664395657	0.513085840853
49005	855766	2541444	-1.13779684602	1.47696155013	0.698326655798	-1.01308233258	-0.722735683132	0.698326655798
4904	850980	2542477	-1.12862978079	-0.672476097868	-0.341303797088	1.93344109293	0.550272379903	-0.341303797088
49044	854153	2540562	-0.107696669487	1.28566481343	0.789297481991	-1.29115957056	-1.29115957056	0.615053515184
49075	854484	2541008	0.106779275055	-0.759873235187	1.15471265133	-1.03035317249	-0.934887071373	1.46362155267
49103	855995	2540293	-0.325710835584	1.33427462451	-0.78736139553	-1.5912688915	0.792289766625	0.577776731479
4916	851068	2538977	-0.959156471206	-0.0826391558418	-0.480799448725	-1.13097779631	1.47202116722	1.18155170486
4919	853830	2538877	0.731485549663	-0.658896601128	-1.45577615949	0.612209435991	-0.672692612744	1.44367038771
4926	856376	2542333	-1.04700887491	0.757839876771	-0.87421133244	-0.991504882285	1.43824630055	0.71663891231
4937	850820	2540971	0.923132619436	-0.141567122862	0.790396474458	1.04015505331	-1.23692776487	-1.37518925948
49392	854909	2539325	0.816099635208	-0.930473266714	1.32076950195	0.812993789824	-1.11887954926	-0.900510111004
49610	856154	2541629	0.177310974479	1.21848165818	0.470343222669	-0.558637832756	0.590395022215	-1.89789304479
4965	854192	2539474	1.92825669514	-0.403182255971	0.269855019212	-0.201634378603	-1.40348253661	-0.189812543164
4972	854997	2541782	0.850248983069	-1.30716597152	0.431912333243	0.766678406304	-1.49311352836	0.751439777256
4973	853187	2539673	0.134894285286	1.55852619731	-0.624629221079	-1.57913556206	0.774182354587	-0.263838054036
4981	852187	2539692	0.378636838487	-1.82793543552	1.2257791565	-0.424480760636	0.881949740384	-0.233949539219
4997	854371	2541234	0.131095065153	1.22289520425	0.520987863695	-1.38960864589	-1.28362400478	0.798254517565
5035	855691	2541894	-0.833496180933	1.05292053988	-1.27562997119	-0.84106512622	1.1249900624	0.772280676068
5064	852497	2539353	0.839326371537	0.732934749278	-1.62486219617	-1.17048406285	0.602621532451	0.620463605749
5072	854789	2542125	-0.941019155649	1.41446335212	-1.42608763923	-0.0896143469668	1.03536086496	0.00689692476655
5093	852704	2541786	0.823564990411	-1.13858071664	1.25339467604	0.851164812182	-0.641136839233	-1.14840692276
5096	854517	2539190	-1.01550975881	1.04494669955	-0.97086912341	-1.00541709342	0.854544685073	1.09230459102
5114	850298	2540544	0.505490377863	-0.851888258836	1.15049686402	1.25419824328	-1.07282852166	-0.985468704674
5124	854283	2541094	0.560287642143	1.62209975572	0.304209915147	-1.22657711262	-0.0538115223566	-1.20620867803
5129	850893	2539789	1.01434399628	-1.08751840538	1.09181081134	0.879895023445	-1.04909829261	-0.849433133084
5135	856926	2542106	0.331385549274	-2.11717217047	0.646253355146	0.839529493984	-0.196632875913	0.496636647981
5168	851431	2542744	0.429509426158	0.559625892436	-1.75558946486	-0.954212947421	0.739139133728	0.981527959961
5207	852665	2541355	0.764190140142	0.177788459768	-1.38783449829	-1.3070283667	0.549566526315	1.20331773877
5211	852244	2543658	-1.00689938715	1.1349398692	-1.17957783542	-0.493339026413	1.43196693766	0.112909442124
5239	856105	2541147	-1.30837770632	0.299461922082	-1.18019485951	0.379410325546	1.62044453179	0.189255786412
5240	854211	2539975	0.196201354445	-0.306412709035	0.699821148917	1.60296758014	-1.54610187361	-0.646475500859
5250	852785	2541485	-0.505333564299	0.959649694741	-1.0417760895	-1.29409581428	1.32392471942	0.557631053922
5257	853535	2540123	0.892106960109	0.0879269912066	-1.56116029309	0.480707867888	1.17339011419	-1.0729716403
5263	853146	2538888	-0.518924029623	1.50534674328	-1.59760589725	-0.471298888353	0.76960266896	0.312879402992
52664	855263	2542135	-0.69239216301	1.37688472543	-1.0921111216	-0.948926184289	1.23122224279	0.125322500684
5296	851208	2541944	0.744197266688	-0.702123187535	1.09912773915	1.09639531674	-0.978070974548	-1.2595261605
5297	851210	2543657	0.71989114642	1.34951381053	-1.11441156929	-1.50536167159	0.25184232919	0.298525954743
530	856399	2542886	-1.07342783234	1.29999172116	-1.12071909703	-0.719643780779	1.00901599505	0.604782993939
5308	852882,851264	2540028	-0.208557860488	0.624383123497	-1.20580888663	1.67173866182	-1.12249989833	0.240744860137
531	856014	2540156	1.83712893902	0.149456947171	-1.18943899725	-0.182223504913	-1.00229403307	0.387370649038
5320	852180	2538744	-1.3132462922	1.28415998435	1.03074286409	-1.23891236209	0.0981650208456	0.139090785014
5325	852202	2541245	1.03588681855	-0.731111416228	1.25489089417	0.625438612336	-1.23246001475	-0.95264489407
5337	852247	2541490	0.245253502981	-0.453826311245	0.207737845013	0.689848662928	-1.92208034564	1.23306664597
5343	852261	2541221	-0.771423838779	1.97923108392	0.307762715707	-0.882396597482	0.138250475415	-0.771423838779
5346	852266	2542515	-0.672794238964	1.23058757883	-1.26061427605	-0.668792931405	1.4124111878	-0.0407973202183
5347	852271	2540110	-0.970185170697	0.572831448289	-1.05364181752	-0.799792204902	1.59855001979	0.652237725041
5351	852286,851564	2541115	-0.584032413865	1.0014113855	-1.35734815361	-0.941959303159	1.21986622003	0.662062265106
5353	852288	2541402	-0.760085022999	-0.552375252558	-0.878030688247	-0.446294190848	1.89749445437	0.739290700284
5356	852296	2542011	0.854239984506	-1.00258348549	0.672803225264	0.550945133912	-1.74820808346	0.672803225264
5361	852313	2541434	0.538420308206	-1.32770680053	0.880281736365	1.35943691077	-1.09430743191	-0.356124722909
5362	852314	2542100	-0.849444156224	1.08939947242	-1.17148927246	-0.949411747693	1.09684622274	0.784099481223
5364	852323	2542998	-0.219941693949	-1.28574034615	1.21083062709	1.34481333558	-1.01111555122	-0.0388463713423
5372	852353	2543625	0.494433032197	-1.36876388202	1.68759631195	0.464486072942	-0.607504640622	-0.670246894444
5386	852403	2542504	0.998141454828	-0.802620212514	0.284369476015	1.50835266656	-0.87800798475	-1.11023540014
5387	852407	2541937	0.951955796093	-1.68961480624	0.977795905689	0.369815164672	-0.997837171223	0.387885111008
5388	852408	2541356	-0.884972647594	1.20118025742	-1.25732901066	-0.783619389634	1.07648300135	0.64825778911
5390	852412	2542079	0.877789133427	-1.50704877976	1.30299315406	0.634602108785	-0.685056106479	-0.623279510042
5392	852423	2542660	-0.704508211359	0.842534358718	-1.49973495472	-0.672089742378	1.1280887704	0.90570977934
5401	852459	2541329	0.51078999882	-1.51394516651	1.18717544157	0.906884933546	-1.10231915521	0.0114139477924
5403	852468	2539821	-0.0184557525621	0.996266335415	-1.51269843754	-1.12267708895	0.623001527725	1.03456341592
5404	852469	2541043	0.290029445891	-1.65670178383	0.690093471351	1.40997776337	-0.834683880121	0.101284983338
5418	854266	2540706	0.879417378621	-0.00964642572373	0.246844547919	-1.69813809237	-0.737062265642	1.3185848572
542	852902	2542494	-0.898764660776	-1.14182305237	1.61256200763	0.764238168768	0.400895782583	-0.737108245836
5420	852514	2543624	0.385981737638	-0.479927326323	1.06305386327	1.30880335819	-0.836303037049	-1.44160859572
5422	852519,852818	2539661	-0.778341441913	-0.095123344079	1.24806411689	-1.15163098494	1.43716474066	-0.660133086621
5426	852530	2543277	-0.375551153243	1.60275504358	-0.836717367904	-1.43116232797	0.532847353609	0.507828451926
5429	852537	2540830	0.172669933903	1.72983679737	-0.519216780217	-1.62893065095	0.0117371802083	0.233903519693
5431	852544	2539410	0.600025219055	-1.30612051107	1.14932649565	1.04078703456	-1.20497501228	-0.279043225909
5433	852550	2541224	1.11924100024	-0.421352329777	1.43603658717	0.083612983153	-1.25339218613	-0.964146054652
5434	851605	2542631	0.685213918646	-0.834763387565	0.685213918646	1.23454364932	-0.087226402533	-1.68298169651
5436	852556	2539833	-0.54752073864	-1.39577550821	-0.597123925354	1.63615977993	0.0586759197475	0.845584472536
5437	852559	2539183	-0.811381058075	1.47562442463	-1.12462915822	-0.63981828099	1.21523760863	-0.115033535973
5439	852564	2542340	0.573751710561	-1.14231164124	1.08694397098	1.2156729557	-0.548321481301	-1.18573551469
5463	850343	2540403	0.725685629381	1.43211837472	0.660818220061	-0.737977855348	-0.668445324125	-1.41219904469
5467	850352	2541243	-1.01050617008	1.28952599472	-0.98549830229	-0.85774197738	1.22124515531	0.34297529971
5468	850354	2541774	0.806981197567	-1.12581875581	0.439977955022	0.412431764158	-1.60381324725	1.0702410863
5470	850360	2543686	0.213347015575	-1.72967778164	0.405169917392	0.369392057189	-0.721583955916	1.4633527474
5472	850367	2541160	-0.543840458676	1.38078449422	-0.221676505852	-1.75336142899	0.68442914129	0.453664758011
5474	850376	2542152	0.556696774996	1.5404332159	-0.932463586278	-1.52884414602	0.33039384678	0.0337838946219
5475	850381	2542315	-1.03462437282	0.907149017336	-0.943080789678	-0.970664247834	1.33024890794	0.71097148505
5482	850402	2539822	-0.673588328761	1.28661051553	-1.34491627063	-0.875945963493	0.698430143193	0.909409904159
5484	850411	2543664	-0.699188490178	1.2520494035	-1.59198297548	1.00658543851	0.460877348619	-0.428340724972
5486	850414	2542685	-0.470572346339	-0.0394946254425	1.27260650172	0.96275673781	0.0706927447105	-1.79598901245
5489	850420	2542653	0.716295785354	-0.8504073811	1.65888937941	0.322420518453	-1.24123722068	-0.605961081436
5490	850423	2541824	1.02417755278	-1.05739728927	1.1898183531	0.685391341655	-1.27531037907	-0.566679579194
5494	850435	2539380	1.01432247449	0.382052310221	1.1746788082	-0.0840162960542	-0.82783869247	-1.65919860439
5510	851353,850486,855384,853621	2539108	0.0	0.0	0.0	0.0	0.0	0.0
5513	851362	2539960	-0.472482595268	-1.42954466593	1.55225342938	0.750213706068	-0.783604409425	0.383164535172
5517	851372	2539181	0.613831933993	-1.47551898742	0.842010559192	1.24527575543	-1.07933677338	-0.146262487807
5518	851307	2543253	0.622530791044	-1.3256779038	0.533112052029	1.56230175625	-0.979713139215	-0.412553556307
5520	851311	2539148	0.918194012045	-0.978188544325	1.5138149945	0.380200554525	-0.714449303029	-1.11957171372
5524	851319	2542369	0.437908576111	-0.919121526087	0.786260219823	1.57823712278	-1.14293066903	-0.7403537236
5525	851320	2540395	-1.63269258546	-0.265266716538	-0.44975897136	1.44899662847	0.977671257393	-0.078949612508
5527	851329	2538713	0.794707925737	-1.30798469117	0.983928527013	1.16348187653	-0.834582006277	-0.799551631833
5530	851334	2540399	0.954875944181	-1.26647828762	0.975866245594	0.776477224448	-1.38788287476	-0.0528582518447
5532	851425	2539815	1.12615363867	-0.0362652634957	1.07590335161	0.0269612675379	-1.86060324158	-0.332149752734
5534	851376	2541151	1.62291681255	0.33451017713	0.30553461013	0.229423441951	-1.21253357664	-1.27985146511
5537	851383	2543509	0.376270311817	-0.809349779432	1.49050367763	0.449525101091	-1.66018614338	0.153236832269
554	856766	2541218	0.576890939571	-1.54536949858	0.699728162629	0.969041387064	-1.2460153267	0.545724336012
5540	851388	2538752	0.952500707309	-0.657100071056	0.933228637328	1.06275811346	-1.27866610268	-1.01272128437
55467	851092	2540031	-1.01502325769	1.22569496479	-0.999306532907	-0.891649489946	1.20212944297	0.478154872781
55480	856804	2542976	-0.295541918976	0.978900802491	-1.65924929445	-0.772918032345	1.06770735343	0.681101089846
55488	856398	2542599	1.17446048662	-1.65213154316	0.632135823129	0.581546296645	-1.03225548188	0.296244418647
55495	850314	2541460	-0.818589741899	0.552148425956	-0.450523184359	-1.50960737201	0.933917263262	1.29265460905
55497	851153	2540024	-1.5307468214	1.02474150221	-0.845597060123	-0.42475227649	1.14658805365	0.629766602156
55514	851843	2539418	-0.289773602118	0.826502782649	-1.47784332716	-1.04072633935	1.02211592256	0.959724563408
