OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe	time0	time1	time2	time3	time4	time5
101633	855663	2540699	-1.2053730774	0.0577117091663	-1.39921814514	0.810320443036	0.409206685607	1.32735238473
10201	853628	2539739	0.769162278939	0.748424726743	1.36344564146	-0.660243033251	-0.901359304839	-1.31943030906
102045	851591	2541725	1.13165333095	0.921140594358	0.641276554791	-0.259199617461	-0.75475702048	-1.68011384216
1032	850643	2539278	-0.744313413165	0.219386823012	2.00800180675	-0.435924523021	-1.08371070171	0.0365600081367
103828	855925	2539791	1.10944842616	1.60817629368	-0.328079724949	-0.658171154541	-0.598067847614	-1.13330599274
103894	856704	2540738	1.73545672213	-0.115175651624	0.538694241729	-1.15999251655	0.148647127983	-1.14762992367
1040	852757	2540057	-1.42486754389	0.0725686397182	-0.228908456254	0.429628268626	-0.662039105817	1.81361819762
104074	851480	2541233	0.551885724976	0.901170896183	1.4243756206	-0.778085745671	-1.20037489193	-0.898971604158
10409	854168	2542401	-1.2187290985	-0.911481867167	-0.841636777475	0.847329048326	1.04236755732	1.0821511375
104091	853559	2541584	0.843298930911	-0.595021126141	-1.64180974281	-0.253442276716	1.46331619445	0.183658020307
104109	855936	2543358	1.74916520225	-0.0388246439063	-1.09612469218	0.015230061089	0.562514563796	-1.19196049105
104264	853671	2540405	1.81950016958	0.203076069489	0.203076069489	-0.628993891065	-0.11398755913	-1.48267085837
1045	850872	2542481	-1.40779409613	-0.172288785997	-1.08801896517	1.42127612034	0.562856767235	0.683968959724
105237	854419	5802702	1.70156131724	0.625470152696	-0.491624864959	-0.233733339643	-0.0476861611884	-1.55398710415
105262	856870	2541193	1.95728496821	0.147328028364	-0.0145344843145	-1.36693662271	-0.269007649388	-0.454134240167
105284	855587	2541195	1.18752657751	1.38835312601	0.0293824342227	-1.29063357409	-0.400863755374	-0.913764808273
105453	851833	2540976	-1.18542318077	-0.885314581217	1.88967355381	-0.293657373251	0.380903279231	0.0938183022004
105685	856855	2540081	0.733601183957	0.237062457908	1.72409261255	-0.975739495133	-0.901689451177	-0.817327308104
105687	850805	2541794	1.02615262611	1.09497850415	0.758522855336	-0.517860212501	-0.940624303521	-1.42116946957
1058	852545	2539795	0.315925777011	0.853987231569	1.58540268367	-0.720003622145	-1.20169708357	-0.833614986536
1059	854703	2540295	0.212635950312	0.250695221338	-2.20279065665	0.565196767988	0.46312061138	0.711142105629
10592	855503	2542096	-1.04502469183	0.279651259631	-1.67500843178	0.744132099953	0.974023862914	0.722225901106
1060	853643	2539788	-1.32605257344	-0.736651346403	-0.510549546719	0.864427178876	0.069878078236	1.63894820945
1061	853083	2540303	-1.00359098532	-0.611462226637	-1.32045558302	0.985907754266	0.937184539786	1.01241650092
107623	851337	2542023	0.394999803336	-0.721311171514	-1.86614337382	0.655917880595	1.10774834782	0.428788513581
1080	853896	2539154	0.230398176745	0.115080649523	-2.15602888392	0.547700080966	0.937890455785	0.324959520899
10975	856837	2541642	-1.34199948577	-0.365017541719	-1.15339534967	1.01992036987	0.947956709823	0.892535297462
1099	851548	2540479	-1.67581651621	-0.046222064005	0.258908127003	1.01840783018	-0.774239283583	1.21896190661
110453	853993	2539701,2540851	0.0973706650023	1.51771993498	0.752300894546	-0.205671473581	-1.69006893896	-0.471651081983
110643	854117	2538892,2542912	-0.0600767308853	0.815703858812	1.53673911168	-0.0134083636706	-1.57101492684	-0.707942949101
110649	855972	2539680,2543642	-0.0136553491847	0.725970933216	1.62071313554	-0.353369964229	-1.60694927786	-0.372709477485
110703	855784	2539922	-2.01920844408	-0.529732744411	0.670820694142	0.557246477447	0.592237469218	0.728636547678
110745	856727	2542783	1.28707273632	0.749335749853	0.695019292886	-0.350003744789	-0.777919665528	-1.60350436874
110750	854551	2539588,2540015	0.707106781186	0.707106781186	-1.41421356237	0.707106781186	0.707106781186	-1.41421356237
110830	854420	2539566	-1.8278543189	-0.163059661366	-0.493979723331	1.25477910704	0.445819889762	0.784294706791
111992	855501	2542823	0.491585850111	0.916413664639	1.34138042183	-0.406221096807	-1.49485612603	-0.84830271375
11286	854309	2543563	-1.97522523314	-0.468318038126	0.158268470379	0.80014710106	0.50689770993	0.9782299899
113	854347	2539199	-1.79308429541	0.519251803187	1.44126553947	0.312188225571	0.0959721418244	-0.57559341464
113185	855842	2541780	0.813033204253	1.41514517502	0.642706026052	-0.770430115603	-1.29897745325	-0.801476836474
11339	850550	2541578	-1.23908677824	1.30392862511	0.244991121252	0.116640704575	-1.35338342701	0.926909754312
11345	852758	2540411	-0.299820402851	-0.328549119086	1.90309257168	-1.30701041462	-0.469451007144	0.501738372017
113608	852293	2541116,2542190	-1.59674460948	-0.48862009869	-0.586066312618	1.17605695162	0.319317117547	1.17605695162
