OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe	W	X	Y	Z
39069	852885	2542412	0.0129426378651	-1.1257905913	1.58433757934	-0.471489625908
39073	852892	2540623	1.42900934531	-0.162155526983	-1.38481847738	0.117964659059
39074	851039,852893	2543055	0.538473220501	1.20596467577	-1.47809187402	-0.266346022253
39079	852904	2541235	-0.270248269918	-1.46977307293	0.514415501395	1.22560584146
3908	853418	2541815	0.109359200197	1.37091826441	-0.0284460347334	-1.45183142987
39086	852925	2539982	-0.497421273827	-1.09358753513	1.59892952988	-0.00792072092082
39089	852938	2539187	0.0689137177732	1.60872886922	-0.838821293496	-0.838821293496
39090	852939	2539623	1.13270939636	-1.60690623338	0.34290593333	0.131290903688
39104	852973	2542959	-0.479716016375	-0.983647162188	1.66216396627	-0.198800787705
39154	853098	2539294	-0.801477591542	-1.13979969186	0.675501735188	1.26577554821
3918	851326	2539574	-0.0189597836944	0.0983143295404	1.37220555636	-1.4515601022
39181	853191	2541848	-0.994529291256	-0.994529291256	1.14225531356	0.846803268951
39184	853199	2542700	-0.509272912807	0.644628086742	-1.35529849751	1.21994332357
392	853568	2542128	1.23217972157	0.252744934654	0.0685100864644	-1.55343474269
39206	856404	2542765	-0.42992782293	-0.846913644967	1.70676929083	-0.42992782293
39223	856448	2542493	0.678681649527	1.15899814659	-1.4226161372	-0.415063658916
39226	856455	2543263	-0.287071787069	-0.464304755574	1.68330586232	-0.931929319682
39240	856485	2539247	-1.29551444167	1.42155027002	0.319666450698	-0.445702279044
39246	856499	2541265	0.276190428913	-1.69876460707	0.825433947523	0.597140230629
39255	856519	2538762	-0.614168746141	-0.792873521371	1.70458665586	-0.297544388349
39294	854668	2541940	-1.41378427573	1.41464258855	-0.000429156412803	-0.000429156412803
39303	854690	2539698	0.828821117596	1.15429390746	-1.07608126336	-0.907033761699
39305	854693	2540019	1.31885147091	0.614339886437	-0.881147186796	-1.05204417056
39311	854711	2539319	-0.568827047498	-0.877339447857	1.6877107709	-0.241544275547
39312	854718	2542025	1.63138839191	-0.818091962319	0.0047955327322	-0.818091962319
39320	854740	2541189	0.0347533620455	0.526787803637	1.05407445936	-1.61561562504
39323	854745	2539939	0.552849559507	1.00693169352	-1.63545685729	0.0756756042651
39341	854805	2539615	-0.89864877949	1.26665213245	-1.05587021949	0.687866866531
39367	853230	2541348	-1.30694531755	-0.618242507968	0.794522415305	1.13066541021
39379	853273	2542357	-1.4016636323	-0.195940572144	1.39912566375	0.198478540697
39401	853332	3361526	0.57157360741	1.28066287217	-1.32475104765	-0.527485431938
39427	853398	2539983	-0.889382771062	-1.10480779875	0.997095284905	0.997095284905
39451	853502	2543247	0.148011724706	0.092011236661	-1.52372458362	1.28370162225
39452	853503	2543026	-0.36785248144	-1.44241522917	1.17493773456	0.635329976043
39455	853512	2539094	-1.71613490141	0.496882563324	0.429764296375	0.789488041707
39461	853526	2538906	1.15414748901	0.370834701397	0.0644429581947	-1.5894251486
39473	853563	2543151	0.934134220718	0.984388728694	-1.35801386328	-0.560509086128
39481	853580	2542376	0.231009782921	-1.68756994014	0.866045153175	0.590515004042
39493	850690	2539039	1.01183320112	0.888361783533	-1.3869249324	-0.513270052255
39504	853642	2543562	-1.09759064236	-0.679935953114	1.50243319379	0.275093401681
39510	853675	2539476	1.38266087129	0.0707352515771	-0.0100861391917	-1.44330998368
39527	853716	2539100	-0.310677922512	-1.18280355876	-0.0866893711253	1.5801708524
39534	853743	2542472	-1.70148737583	0.481179385837	0.863956391886	0.356351598103
39553	853798	2543111	-1.38884728485	-0.509560266747	1.01803668201	0.880370869578
39571	853840	2543627	-0.847603082565	-1.06634659169	0.561454747238	1.35249492702
39578	853855	2539162	-0.800338334554	-0.776155539304	1.65841205399	-0.08191818013
39580	853859	2541575	1.55167423691	-0.202754880134	-1.24076604668	-0.108153310097
39597	853326,853916	2540451	-0.617873126832	-1.31959728635	0.968735206593	0.968735206593
39602	853302,853935	2539591	0.953317194066	0.450059870384	0.273990423183	-1.67736748763
39603	853936	2539236	1.58590141172	0.109835772576	-0.715410077355	-0.980327106937
39608	853949	2542455	-1.19039901188	-0.547585888078	1.49060492228	0.247379977673
39610	853955	2539884	0.126799706528	-0.796228999574	1.58488931941	-0.915460026366
39642	850688	2541230	-0.479599656006	-0.845193343665	1.70597067923	-0.381177679557
39658	850727	2538835	-0.767800657198	-1.00552889353	1.52972190632	0.243607644405
39674	850763	2542462	-0.0260116497292	-0.579498349392	1.62188044424	-1.01637044512
39688	850795	3361398	0.742068106242	-0.128689999354	0.967017635468	-1.58039574236
39694	850817	2542450	-0.996427068646	0.754557499367	-0.976454306054	1.21832387533
3973	855428	2542094	0.945625880063	0.427496102793	-1.68162550872	0.308503525865
3974	853371	2543010	1.45098776837	-0.989626322538	0.405262295726	-0.86662374156
39749	850966	2543529	0.443703943258	-0.760542706442	1.41828211251	-1.10144334932
39766	851027	2541987	-0.870870965446	-0.744237442949	1.63924128616	-0.0241328777692
39799	851126	2539244	-0.182134757373	0.43983474474	-1.49636008245	1.23866009508
3981	856815	2543484	-1.55608825301	0.0388083152401	1.22016681465	0.297113123129
39834	854868	2541770	0.631880214474	-0.564975250589	-1.31393915186	1.24703418798
39835	854872,855303	2542498	-0.639211505826	0.33110630454	-1.15635055457	1.46445575586
39847	854903	2542267	-1.40301138309	-0.447308566316	1.16973322328	0.680586726127
39875	855003	2539602	0.606613933953	1.05828242496	-1.58282072067	-0.0820756382431
39876	855008	2543551	-0.791496621042	-1.1122565941	1.35454285627	0.549210358876
39894	855049	2541540	-0.433375257353	-0.61551578236	1.72512033041	-0.676229290695
39905	855080	2541558	0.665045477573	0.897350085229	-1.6563941565	0.0939985936965
39955	855215	2539150	0.108606311434	1.30118458742	-1.51154535779	0.101754458931
39965	855242	2541992	0.870135909362	0.275459774118	-1.69324210119	0.547646417712
39979	855268	2543271	0.771167226533	1.20137734604	-1.07717755501	-0.895367017555
39986	855276	2543133	1.08895695482	-0.833707801382	0.893778376893	-1.14902753033
39995	855301	2539238	-0.617275293999	-0.656209872333	1.72703556683	-0.453550400493
40008	855329	2541286	-0.14111811136	-1.42985567949	1.37777866841	0.193195122441
4002	851931	2539272	0.59897930312	-1.51338430765	1.14014593903	-0.225740934493
40049	855442	2542800	-0.00211885573756	1.5889452083	-1.12222900533	-0.464597347238
40053	855448	2540728	-0.515408541278	-1.38426505052	1.03285615452	0.866817437273
40061	856560,855464	2542216	-1.18069511297	-0.789331783739	1.13063521614	0.839391680569
40063	855469	2539103	1.41697675495	-0.203796407957	0.172749490221	-1.38592983721
40064	855473	2541914	-0.938523953993	1.21726708944	0.754659962196	-1.03340309764
40089	855547	2542965	-0.233067620624	0.689051690479	1.06949139774	-1.52547546759
