GeneID	time0_rep1	time0_rep2	time1_rep1	time1_rep2	time2_rep1	time2_rep2	time3_rep1	time3_rep2	time4_rep1	time4_rep2	time5_rep1	time5_rep2
856391	1965.0574	1994.6287	1548.2346	1576.3485	1485.7552	1428.6747	1271.1017	1261.7128	1225.9463	1230.2106	1112.0579	1153.2053
856087	2678.2236	2854.7986	2537.4692	2515.824	2364.976	2487.913	3006.9836	2930.5894	3153.5166	3105.4785	2855.8306	3063.0176
850992	4211.0312	4027.2285	4608.991	4513.9395	5996.291	6085.0986	1372.9705	1291.2985	1462.333	1438.9445	1356.8339	1400.1681
854681	3612.3157	3534.1936	3843.215	3461.1787	4035.7908	4096.375	4200.5864	4115.8135	4335.9946	4448.626	4309.7007	4712.067
856040	4136.6772	3981.2551	3226.0747	3216.7969	3271.788	3310.7654	2781.8767	2544.6035	2616.8628	2785.8828	2097.634	2411.6958
851511	1504.5109	1440.656	1440.4994	1432.7694	1069.373	1091.9308	1675.9928	1497.0555	1319.296	1424.9531	1535.196	1567.749
852357	270.7084	269.48373	323.733	259.3543	274.69324	234.73238	285.1702	297.03375	284.3297	340.45703	308.42383	345.83542
855864	605.4038	613.6967	537.2765	547.4265	576.46356	585.5806	410.0696	396.73508	392.22742	432.80084	409.87802	397.1138
855902	4459.9253	4400.2124	5885.541	5750.387	5104.1997	5154.6924	5485.164	5082.933	4649.8203	4967.7256	4691.763	5098.877
852971	821.7861	897.8475	947.9583	931.4206	1220.7942	1237.4052	889.30865	881.8509	855.40375	859.16864	908.6069	840.3144
855424	1536.9642	1535.8309	1923.7006	1834.9744	1288.8833	1270.4618	2522.3538	2356.3953	2155.9963	2235.4487	2266.803	2316.5796
854805	1323.1719	1395.163	1592.5726	1645.0925	1775.6234	1843.9121	1581.5782	1562.0883	1524.3491	1623.5652	1650.1631	1677.7407
853010	823.1026	791.8645	863.1506	884.6318	865.85803	866.6061	909.58875	845.04584	839.73956	808.7431	796.0369	811.30896
856057	5281.4434	5351.4717	5515.341	5515.73	4844.732	4815.528	4970.5786	4789.9473	4850.668	4865.002	4947.287	4870.261
852058	20797.238	21436.346	20054.79	20841.395	19260.365	19208.453	18665.97	19240.281	18347.547	18563.469	18364.072	17894.96
854989	4996.409	5057.5664	4645.3794	5089.8794	4481.4907	4525.815	4253.3047	4378.646	4559.8237	4327.575	4116.991	3717.0334
853688	2398.1904	2378.4636	2452.352	2354.6138	1965.976	1976.8673	2741.9138	2657.3892	2660.881	2617.71	2644.7932	2702.7246
853604	14308.202	14214.766	14622.919	14807.739	14542.064	14486.973	15602.161	15485.499	17295.3	17026.318	16433.873	16564.504
855774	1015.0878	970.1697	1331.6992	1247.0847	1201.5065	1162.729	1461.0449	1442.6771	1354.1754	1417.2025	1640.5991	1655.1593
853274	1903.0067	1930.6008	1707.7144	1658.1707	1852.3254	1877.9683	1904.48	1863.1237	1954.0895	2075.5916	1827.7568	2030.7393
851472	2966.0293	3118.415	3191.0757	3310.5193	4149.344	4231.841	2987.7773	2989.1794	2914.809	2918.1675	3394.8616	3530.9458
853766	4760.987	4762.785	3902.3	4059.3137	4666.408	4605.6694	2994.5608	3033.8845	2933.8064	3006.9292	3124.7085	3030.1199
850753	2129.6978	2227.2178	2019.9873	2229.8638	1922.6625	2003.0104	2275.384	2391.5989	2346.4531	2260.6113	2223.5718	2047.6183
856715	7707.104	7747.99	7300.35	7092.5103	6508.739	6585.085	7269.67	6994.7744	7442.278	7759.57	7056.4824	7785.588
